,,,Population Health and Well-being,,,Community Conditions,,
FIPS,State,County,National Z-Score,Health Group,Health Group Range,National Z-Score,Health Group,Health Group Range
48139,Texas,Ellis,-0.61,3,-0.71 to -0.38,-0.13,5,-0.17 to 0.03
48141,Texas,El Paso,0.00,5,-0.05 to 0.27,0.44,7,0.24 to 0.46
48143,Texas,Erath,-0.33,4,-0.38 to -0.06,0.19,6,0.03 to 0.24
48145,Texas,Falls,0.57,6,0.28 to 0.6,0.55,8,0.47 to 0.72
48147,Texas,Fannin,0.07,5,-0.05 to 0.27,0.36,7,0.24 to 0.46
48149,Texas,Fayette,-0.30,4,-0.38 to -0.06,0.00,5,-0.17 to 0.03
48151,Texas,Fisher,0.81,7,0.6 to 0.95,-0.07,5,-0.17 to 0.03
48153,Texas,Floyd,0.36,6,0.28 to 0.6,0.71,8,0.47 to 0.72
48155,Texas,Foard,0.37,6,0.28 to 0.6,1.02,9,0.73 to 1.09
48157,Texas,Fort Bend,-1.07,2,-1.07 to -0.71,-0.46,3,-0.58 to -0.37
48159,Texas,Franklin,-0.22,4,-0.38 to -0.06,0.04,6,0.03 to 0.24
48161,Texas,Freestone,0.08,5,-0.05 to 0.27,0.51,8,0.47 to 0.72
48163,Texas,Frio,0.65,7,0.6 to 0.95,1.09,9,0.73 to 1.09
48165,Texas,Gaines,0.03,5,-0.05 to 0.27,0.99,9,0.73 to 1.09
48167,Texas,Galveston,-0.35,4,-0.38 to -0.06,0.01,5,-0.17 to 0.03
48169,Texas,Garza,-0.04,5,-0.05 to 0.27,0.62,8,0.47 to 0.72
48171,Texas,Gillespie,-0.55,3,-0.71 to -0.38,-0.18,4,-0.37 to -0.17
48173,Texas,Glasscock,,,,,,
48175,Texas,Goliad,-0.20,4,-0.38 to -0.06,0.35,7,0.24 to 0.46
48177,Texas,Gonzales,0.22,5,-0.05 to 0.27,0.63,8,0.47 to 0.72
48179,Texas,Gray,0.32,6,0.28 to 0.6,0.21,6,0.03 to 0.24
48181,Texas,Grayson,-0.13,4,-0.38 to -0.06,0.03,6,0.03 to 0.24
48183,Texas,Gregg,0.43,6,0.28 to 0.6,0.19,6,0.03 to 0.24
48185,Texas,Grimes,0.08,5,-0.05 to 0.27,0.55,8,0.47 to 0.72
48187,Texas,Guadalupe,-0.61,3,-0.71 to -0.38,-0.13,5,-0.17 to 0.03
48189,Texas,Hale,0.42,6,0.28 to 0.6,0.67,8,0.47 to 0.72
48191,Texas,Hall,0.48,6,0.28 to 0.6,0.66,8,0.47 to 0.72
48193,Texas,Hamilton,0.22,5,-0.05 to 0.27,0.53,8,0.47 to 0.72
48195,Texas,Hansford,-0.55,3,-0.71 to -0.38,0.02,5,-0.17 to 0.03
48197,Texas,Hardeman,-0.10,4,-0.38 to -0.06,0.59,8,0.47 to 0.72
48199,Texas,Hardin,0.18,5,-0.05 to 0.27,0.23,6,0.03 to 0.24
48201,Texas,Harris,-0.16,4,-0.38 to -0.06,0.44,7,0.24 to 0.46
48203,Texas,Harrison,0.16,5,-0.05 to 0.27,0.34,7,0.24 to 0.46
48205,Texas,Hartley,-0.73,2,-1.07 to -0.71,-0.27,4,-0.37 to -0.17
48207,Texas,Haskell,0.52,6,0.28 to 0.6,0.34,7,0.24 to 0.46
48209,Texas,Hays,-0.91,2,-1.07 to -0.71,-0.33,4,-0.37 to -0.17
48211,Texas,Hemphill,-0.35,4,-0.38 to -0.06,-0.10,5,-0.17 to 0.03
48213,Texas,Henderson,0.45,6,0.28 to 0.6,0.46,7,0.24 to 0.46
48215,Texas,Hidalgo,0.39,6,0.28 to 0.6,1.31,10,1.09 to 1.98
48217,Texas,Hill,0.33,6,0.28 to 0.6,0.26,7,0.24 to 0.46
48219,Texas,Hockley,0.68,7,0.6 to 0.95,0.41,7,0.24 to 0.46
48221,Texas,Hood,-0.54,3,-0.71 to -0.38,-0.15,5,-0.17 to 0.03
48223,Texas,Hopkins,-0.06,4,-0.38 to -0.06,0.19,6,0.03 to 0.24
48225,Texas,Houston,0.74,7,0.6 to 0.95,0.69,8,0.47 to 0.72
48227,Texas,Howard,0.42,6,0.28 to 0.6,0.51,8,0.47 to 0.72
48229,Texas,Hudspeth,0.75,7,0.6 to 0.95,1.08,9,0.73 to 1.09
48231,Texas,Hunt,0.04,5,-0.05 to 0.27,0.31,7,0.24 to 0.46
48233,Texas,Hutchinson,0.42,6,0.28 to 0.6,0.14,6,0.03 to 0.24
48235,Texas,Irion,0.21,5,-0.05 to 0.27,-0.31,4,-0.37 to -0.17
48237,Texas,Jack,-0.16,4,-0.38 to -0.06,0.53,8,0.47 to 0.72
48239,Texas,Jackson,-0.04,5,-0.05 to 0.27,0.43,7,0.24 to 0.46
48241,Texas,Jasper,0.82,7,0.6 to 0.95,0.69,8,0.47 to 0.72
48243,Texas,Jeff Davis,0.49,6,0.28 to 0.6,0.08,6,0.03 to 0.24
