county_fips,county,total_population,total_pop18plus,high_blood_pressure,obesity,coronary_heart_disease,diabetes
48129,Donley,3214,2573,,,,
48323,Maverick,57762,39943,,,,
48225,Houston,22066,17552,,,,
48045,Briscoe,1445,1128,,,,
48373,Polk,54186,43059,,,,
48223,Hopkins,38172,28933,,,,
48241,Jasper,32694,25039,,,,
48149,Fayette,25474,20303,,,,
48339,Montgomery,711354,528013,,,,
48269,King,217,168,,,,
48113,Dallas,2606358,1960720,,,,
48065,Carson,5878,4511,,,,
48081,Coke,3352,2630,,,,
48115,Dawson,12004,9004,,,,
48119,Delta,5520,4187,,,,
48219,Hockley,21460,15783,,,,
48251,Johnson,202906,150832,,,,
48305,Lynn,5761,4156,,,,
48351,Newton,12039,9669,,,,
48253,Jones,20381,16924,,,,
48287,Lee,18240,14389,,,,
48235,Irion,1549,1190,,,,
48321,Matagorda,36359,26887,,,,
48075,Childress,6788,5492,,,,
48369,Parmer,9617,6935,,,,
48011,Armstrong,1832,1422,,,,
48213,Henderson,86158,67684,,,,
48469,Victoria,91664,68723,,,,
48423,Smith,245209,186274,,,,
48405,San Augustine,7833,6232,,,,
48495,Winkler,7414,5280,,,,
48443,Terrell,687,556,,,,
48489,Willacy,20037,15371,,,,
48451,Tom Green,119057,90938,,,,
48455,Trinity,14228,11401,,,,
48491,Williamson,697191,532125,,,,
48439,Tarrant,2182947,1635353,,,,
48473,Waller,63553,48491,,,,
48447,Throckmorton,1526,1159,,,,
48465,Val Verde,47720,34333,,,,
48457,Tyler,20382,16475,,,,
48507,Zavala,9312,6563,,,,
48431,Sterling,1397,980,,,,
48413,Schleicher,2391,1809,,,,
48411,San Saba,5845,4743,,,,
48461,Upton,3109,2293,,,,
48459,Upshur,43281,32998,,,,
48477,Washington,37007,29213,,,,
48463,Uvalde,24960,18337,,,,
48481,Wharton,41739,31173,,,,
48427,Starr,65934,44621,,,,
48503,Young,18124,13798,,,,
48499,Wood,47921,39005,,,,
48493,Wilson,54183,41434,,,,
48467,Van Zandt,64000,49331,,,,
48421,Sherman,2678,1950,,,,
48435,Sutton,3221,2454,,,,
48429,Stephens,9343,7416,,,,
48419,Shelby,24179,17790,,,,
48475,Ward,10966,7825,,,,
48409,San Patricio,70660,52520,,,,
48501,Yoakum,7468,5012,,,,
48505,Zapata,13736,9425,,,,
48479,Webb,269148,186022,,,,
48445,Terry,11547,8240,,,,
48415,Scurry,16212,11981,,,,
48485,Wichita,130180,100315,,,,
48425,Somervell,9888,7756,,,,
48497,Wise,78097,58924,,,,
48433,Stonewall,1218,955,,,,
48449,Titus,31357,22569,,,,
48483,Wheeler,4804,3606,,,,
48487,Wilbarger,12522,9895,,,,
48417,Shackelford,3229,2477,,,,
48407,San Jacinto,28936,22772,,,,
48441,Taylor,146836,110949,,,,
48453,Travis,1334961,1071849,,,,
48471,Walker,81268,69285,,,,
48437,Swisher,6955,5305,,,,
