county_fips,svi_county,svi_location,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur,ep_age65,ep_disabl,ep_minrty,ep_limeng,ep_noveh,ep_groupq
48075,Childress County,"Childress County, Texas",0.7178,0.9408,0.5759,0.867,0.1451,32.5,8.6,18,20.3,13.9,16.3,49.2,2.1,2.1,21.4
48077,Clay County,"Clay County, Texas",0.1772,0.161,0.602,0.363,0.1044,16.4,1.8,7.1,15.8,22.3,20.5,12.3,0.7,3.3,0.8
48079,Cochran County,"Cochran County, Texas",0.938,0.9135,0.8928,0.9481,0.8005,43.2,7.1,30.6,19.3,16.8,18.2,67,10.6,6,6.2
48081,Coke County,"Coke County, Texas",0.6379,0.6885,0.9287,0.6268,0.1715,29.5,3,14,12.7,27.2,19.2,26.6,1.6,3.6,3.1
48083,Coleman County,"Coleman County, Texas",0.6449,0.692,0.9055,0.5994,0.2154,25.6,6.3,11.8,25,25.5,21,24.5,2.2,6.8,0.8
48085,Collin County,"Collin County, Texas",0.2997,0.2393,0.3598,0.8543,0.2358,11.3,4.2,5.6,10.1,11.2,7.5,47.3,3.7,2.9,0.6
48087,Collingsworth County,"Collingsworth County, Texas",0.8498,0.6793,0.9984,0.7725,0.4913,30.8,2.8,22.2,30.3,20.4,15.7,39.2,2.8,4,2.5
48089,Colorado County,"Colorado County, Texas",0.7639,0.6214,0.6586,0.8352,0.7951,22.2,5.7,15.6,15,22.3,14.2,45.4,2.8,5.6,1.7
48091,Comal County,"Comal County, Texas",0.2749,0.2374,0.37,0.7276,0.2189,12.2,3.7,6.4,11.2,18.3,14.4,35.3,1.8,2.5,0.7
48093,Comanche County,"Comanche County, Texas",0.7267,0.7642,0.8772,0.7038,0.301,22,7.3,15.4,17.5,23.5,19.1,33.1,3.7,4.3,1.4
48095,Concho County,"Concho County, Texas",0.7534,0.3936,0.9857,0.8403,0.6182,21.8,2.3,25.1,10,24.5,21.6,45.8,14.6,4.3,25.3
48097,Cooke County,"Cooke County, Texas",0.6946,0.5453,0.8486,0.6287,0.6214,20.3,3.9,11.2,15,18.9,13.7,26.8,3.6,4.8,1.5
48099,Coryell County,"Coryell County, Texas",0.833,0.7757,0.7528,0.819,0.7626,21.4,7.1,10,12.4,10.7,19.4,44,1.4,4.2,19.2
48101,Cottle County,"Cottle County, Texas",0.6732,0.6828,0.9294,0.7843,0.1864,38.9,4.1,18.1,10.5,21.9,27.8,40.1,0,7.9,0
48103,Crane County,"Crane County, Texas",0.7092,0.4747,0.4012,0.9625,0.916,18.9,3,25,22,14,5.7,71.1,10.7,9.5,2.6
48105,Crockett County,"Crockett County, Texas",0.4098,0.3745,0.7305,0.9141,0.0913,15.4,2,28.1,18.1,23.5,12.6,59,5.4,0,2.1
48107,Crosby County,"Crosby County, Texas",0.9504,0.8438,0.9997,0.9303,0.6048,33.8,4.9,22.2,20,18.4,21.4,62.1,3.4,6.1,1.7
48109,Culberson County,"Culberson County, Texas",0.8393,0.826,0.7986,0.9917,0.5527,28.7,10.1,23.6,14.5,21.7,23.9,88.6,6.4,10.7,1.9
48111,Dallam County,"Dallam County, Texas",0.6039,0.6637,0.2568,0.8842,0.5313,29.8,2.6,22,25.3,9.5,10.5,52.8,11.8,3.4,0.6
48113,Dallas County,"Dallas County, Texas",0.8925,0.9271,0.7184,0.9685,0.7171,24.3,4.9,18.9,21.6,11.2,10.2,72.6,10.1,6.7,1.2
48115,Dawson County,"Dawson County, Texas",0.9876,0.9981,0.9338,0.9551,0.7709,40,9.5,29.8,19.9,14.1,16.4,68.7,3.2,8.3,14.5
48117,Deaf Smith County,"Deaf Smith County, Texas",0.7245,0.6615,0.8206,0.9793,0.3885,32.5,2.1,27.8,23.2,12.9,8.2,77.8,8.3,3.4,1.1
48119,Delta County,"Delta County, Texas",0.3665,0.5985,0.4101,0.5597,0.0818,23.5,6.4,10.8,7,20.3,17.2,22.1,0.5,3.3,1.2
48121,Denton County,"Denton County, Texas",0.3796,0.3051,0.3684,0.825,0.3357,12.1,4,6.7,10.9,10.9,8.8,44.4,3.3,3.1,1.3
48123,DeWitt County,"DeWitt County, Texas",0.8441,0.7887,0.5418,0.8508,0.9096,26.6,5.2,15.9,17.3,19.6,16.6,46.7,2,7.7,9.7
48125,Dickens County,"Dickens County, Texas",0.7588,0.8431,0.9446,0.7938,0.1508,27.4,9.7,14.5,14.8,23.9,20.2,41,1.6,5.3,4.8
48127,Dimmit County,"Dimmit County, Texas",0.9994,0.9812,0.9971,0.994,0.9631,60.9,4.7,27.2,17.3,17,18.3,90.3,4.9,14.9,1.7
48129,Donley County,"Donley County, Texas",0.3353,0.4957,0.0608,0.5711,0.4006,20.6,0,15.5,17.2,23.8,9.3,22.7,0.1,3.7,10.7
48131,Duval County,"Duval County, Texas",0.9768,0.8925,0.9841,0.9936,0.9045,32.6,8.4,26.6,20.2,15.8,20.8,90.1,4.2,10.2,5.5
48133,Eastland County,"Eastland County, Texas",0.8616,0.7467,0.9131,0.5679,0.8797,26.4,4.9,14.6,16.2,21.6,19.2,22.6,1.7,6.3,5.5
48135,Ector County,"Ector County, Texas",0.9421,0.9364,0.7906,0.9618,0.8645,24.7,5.8,23.2,21.8,9.5,10.2,71,6.7,5.2,1.2
48137,Edwards County,"Edwards County, Texas",0.6844,0.8492,0.8008,0.8756,0.1079,40.9,0,25.6,25.9,22,14.3,50.8,4.9,3,2.5
48139,Ellis County,"Ellis County, Texas",0.5695,0.4801,0.755,0.8171,0.3522,14.7,3.9,11.7,16.1,12.9,12,43.8,3.2,2.9,0.9
48141,El Paso County,"El Paso County, Texas",0.9825,0.9898,0.9182,0.992,0.8145,31.8,6.8,20,21.8,12.5,13.9,88.8,13.1,6.5,1.6
48143,Erath County,"Erath County, Texas",0.7996,0.9061,0.1454,0.6316,0.9198,27.6,5.6,12.9,14.8,14.2,12.9,27,3.5,4.1,6.3
48145,Falls County,"Falls County, Texas",0.972,0.9803,0.5132,0.8734,0.992,36,7.4,17.5,16.9,18.7,18.7,50.4,1.6,8.9,11.1
48147,Fannin County,"Fannin County, Texas",0.643,0.7047,0.3519,0.5759,0.6713,23.7,4.7,14.3,15.6,18.1,15.2,23,1.7,3.2,8.6
48149,Fayette County,"Fayette County, Texas",0.5234,0.3471,0.5883,0.6685,0.6185,17.2,3.5,10.1,11,26.1,15.6,30.2,2,4.8,2
48151,Fisher County,"Fisher County, Texas",0.4248,0.328,0.9644,0.7735,0.0433,19,2.9,13.8,13,23.1,18.1,39.3,3,5.6,1.1
48153,Floyd County,"Floyd County, Texas",0.7722,0.7865,0.9895,0.9405,0.1024,29.4,4.1,28.8,24.3,18.3,15.6,64.2,6.4,10.2,0.6
48155,Foard County,"Foard County, Texas",0.6071,0.9335,0.4257,0.6936,0.0951,34.9,5.9,19.6,12.1,30.3,19.8,32.1,0.1,5.4,3.7
48157,Fort Bend County,"Fort Bend County, Texas",0.4515,0.3824,0.5431,0.959,0.2393,12.7,5.2,8.5,11.8,11.8,7.3,69.7,5,2.8,0.7
48159,Franklin County,"Franklin County, Texas",0.3821,0.3863,0.79990000000000006,0.5797,0.0964,11.6,6.5,8.5,15.2,22.1,16.4,23.3,2.2,1.9,0.9
48161,Freestone County,"Freestone County, Texas",0.8088,0.6297,0.9418,0.7321,0.6917,25.6,3.5,15,11.4,19.9,19.8,35.8,1.3,3.3,7.3
48163,Frio County,"Frio County, Texas",0.9698,0.832,0.8498,0.9876,0.9965,30.2,2.6,30,14.3,12.6,15.1,84.8,9.6,10.9,18.7
48165,Gaines County,"Gaines County, Texas",0.6745,0.5985,0.7836,0.8403,0.4429,21.5,3.4,39.6,29.5,8.9,12.1,45.8,6.9,4.1,0.7
48167,Galveston County,"Galveston County, Texas",0.7378,0.7028,0.6172,0.8304,0.6551,18.3,5.9,10.3,13.8,14.9,12.9,44.9,3,5.4,1.7
48169,Garza County,"Garza County, Texas",0.6984,0.8447,0.2456,0.9185,0.4925,26,9.9,30,16.3,16.8,18.1,59.7,13.6,6.3,24.3
48171,Gillespie County,"Gillespie County, Texas",0.6392,0.5472,0.6379,0.636,0.6513,14.3,3.5,11.3,17.9,29,14.7,27.5,4.5,5.5,1.2
48173,Glasscock County,"Glasscock County, Texas",0.2784,0.2536,0.5625,0.7366,0.1187,10.1,1.3,13.9,22.5,12.7,9.4,36.1,7.5,1.2,0
48175,Goliad County,"Goliad County, Texas",0.5243,0.5033,0.574,0.8066,0.3198,21.4,4.8,15.5,11.2,23.9,16,42.7,2.2,8.6,1.6
48177,Gonzales County,"Gonzales County, Texas",0.9087,0.6567,0.978,0.9195,0.8956,24,1,22.6,18.9,16.9,16.4,59.9,6.6,8.3,1.7
48179,Gray County,"Gray County, Texas",0.8645,0.9268,0.8346,0.7684,0.5593,28.7,5.4,18.4,19.5,16.1,13.3,38.9,4.3,3.2,7.7
48181,Grayson County,"Grayson County, Texas",0.6888,0.5905,0.7989,0.6249,0.588,19.7,3.9,9.6,16.6,17.9,13.8,26.5,2.4,3.8,1.7
48183,Gregg County,"Gregg County, Texas",0.8731,0.7677,0.8444,0.8212,0.8565,25.6,3.7,13.6,17,15.7,13.1,44.2,2.7,5.2,3.7
48185,Grimes County,"Grimes County, Texas",0.8676,0.8377,0.7786,0.8008,0.7836,24.7,5.6,19.2,18.2,18.2,14.4,41.9,3.4,3.2,11.8
48187,Guadalupe County,"Guadalupe County, Texas",0.5256,0.3939,0.643,0.8797,0.4031,16.4,4.3,10.9,11.5,14.2,13.7,51.9,2.8,2.7,1.1
48189,Hale County,"Hale County, Texas",0.9332,0.9176,0.8921,0.9532,0.7744,32.1,4.7,25.2,22.3,13.9,12.3,68.3,6.4,3.7,7.3
48191,Hall County,"Hall County, Texas",0.8689,0.8527,0.9943,0.8438,0.2969,32.3,7.5,18.2,21.2,22.5,17.7,46,3.6,3.3,2.3
48193,Hamilton County,"Hamilton County, Texas",0.6634,0.6029,0.9637,0.4763,0.314,27.5,2.8,10.7,15.1,25.8,20,17.2,3.2,3.4,3.3
48195,Hansford County,"Hansford County, Texas",0.4836,0.6036,0.3859,0.8781,0.1839,21.3,4.3,27.8,17,13.6,11.9,51.5,8.2,4.7,1.4
