Model,R_Squared,Adjusted_R_Squared,AIC,BIC
Obesity Model,0.7205324148673247,0.7194189981934893,804.5959231626593,815.1960916288419
Health Risk Model,0.8420558410614641,0.8401528993875059,664.2227975491417,681.8897449927792
Full Socioeconomic Model,0.8894442091115851,0.886285472229059,581.9723193613776,613.7728247599252
