term,estimate,std.error,statistic,p.value
(Intercept),1.2716694264238804,0.9052346302348488,1.404795380059605,0.16134357221610962
obesity,0.1307236820064244,0.035510914542853336,3.681225439819963,2.8527743337205164e-4
smoking,0.16533497641105643,0.03972141619393742,4.162363587537222,4.358321103512252e-5
uninsured,0.17753925586289368,0.01839193569414584,9.653103339166442,6.664909917018715e-19
ep_pov150,0.0844347749281361,0.010187305832241785,8.288234035431492,7.499809964661965e-15
ep_unemp,-0.007456489447777419,0.02123690591972402,-0.35110997223244833,0.7258063586097083
ep_nohsdp,-0.05061287886169633,0.012970081734981797,-3.902279098611044,1.2305974691980673e-4
