model,r_squared,adj_r_squared
Model 1,0.7205324148673247,0.7194189981934893
Model 2,0.8420558410614641,0.8401528993875059
Model 3,0.8427399452269527,0.8402034927306132
Model 4,0.8822827643033747,0.8794116122132132
