term,estimate,std.error,statistic,p.value
(Intercept),1.0015152685862991,0.8816675365595422,1.1359330213001022,0.25709453714734726
obesity,0.1434011379658351,0.034630481007441614,4.140893623020141,4.763536032066018e-5
smoking,0.17116924427609143,0.03860048463917468,4.434380704701722,1.394860119175202e-5
uninsured,0.18329576249875504,0.017918409487368506,10.229466104565166,1.106131663733043e-20
ep_pov150,0.0953049453791459,0.01026210431588037,9.28707626092474,8.87230814810119e-18
ep_unemp,0.024291302575534784,0.022108993051020383,1.0987068709768164,0.272974470703638
ep_nohsdp,-0.05062309700042651,0.0125949936707341,-4.01930309167642,7.772755683026574e-5
rpl_themes,-1.1944314770247162,0.29982553753260066,-3.983754975824376,8.949715870993314e-5
